 ID,PARAM,Date,Value,SYM
08FA002,1,3/27/2011,81,
08FA002,1,3/28/2011,82.1,
08FA002,1,3/29/2011,84.4,
08FA002,1,3/30/2011,104,
08FA002,1,3/31/2011,130,
08FA002,1,4/1/2011,144,
08FA002,1,4/2/2011,145,
08FA002,1,4/3/2011,137,
08FA002,1,4/4/2011,134,
08FA002,1,4/5/2011,133,
08FA002,1,4/6/2011,130,
08FA002,1,4/7/2011,124,
08FA002,1,4/8/2011,117,
08FA002,1,4/9/2011,111,
08FA002,1,4/10/2011,109,
08FA002,1,4/11/2011,124,
08FA002,1,4/12/2011,124,
08FA002,1,4/13/2011,122,
08FA002,1,4/14/2011,118,
08FA002,1,4/15/2011,112,
08FA002,1,4/16/2011,106,
08FA002,1,4/17/2011,101,
08FA002,1,4/18/2011,95.1,
08FA002,1,4/19/2011,90.5,
08FA002,1,4/20/2011,86.7,
08FA002,1,4/21/2011,83,
08FA002,1,4/22/2011,79.8,
08FA002,1,4/23/2011,76.1,
08FA002,1,4/24/2011,77.1,
08FA002,1,4/25/2011,78.2,
08FA002,1,4/26/2011,81.1,
08FA002,1,4/27/2011,87.1,
08FA002,1,4/28/2011,92.8,
08FA002,1,4/29/2011,92.9,
08FA002,1,4/30/2011,94,
08FA002,1,5/1/2011,93.6,
08FA002,1,5/2/2011,102,
08FA002,1,5/3/2011,114,
08FA002,1,5/4/2011,120,
08FA002,1,5/5/2011,124,
08FA002,1,5/6/2011,130,
08FA002,1,5/7/2011,138,
08FA002,1,5/8/2011,152,
08FA002,1,5/9/2011,171,
08FA002,1,5/10/2011,213,
08FA002,1,5/11/2011,289,
08FA002,1,5/12/2011,306,
08FA002,1,5/13/2011,287,
08FA002,1,5/14/2011,265,
08FA002,1,5/15/2011,258,
08FA002,1,5/16/2011,285,
08FA002,1,5/17/2011,313,
08FA002,1,5/18/2011,307,
08FA002,1,5/19/2011,286,
08FA002,1,5/20/2011,278,
08FA002,1,5/21/2011,299,
08FA002,1,5/22/2011,312,
08FA002,1,5/23/2011,324,
08FA002,1,5/24/2011,337,
08FA002,1,5/25/2011,360,
08FA002,1,5/26/2011,387,
08FA002,1,5/27/2011,393,
08FA002,1,5/28/2011,382,
08FA002,1,5/29/2011,386,
08FA002,1,5/30/2011,417,
08FA002,1,5/31/2011,448,
08FA002,1,6/1/2011,492,
08FA002,1,6/2/2011,524,
08FA002,1,6/3/2011,524,
08FA002,1,6/4/2011,528,
08FA002,1,6/5/2011,535,
08FA002,1,6/6/2011,551,
08FA002,1,6/7/2011,584,
08FA002,1,6/8/2011,586,
08FA002,1,6/9/2011,612,
08FA002,1,6/10/2011,629,
08FA002,1,6/11/2011,610,
08FA002,1,6/12/2011,584,
08FA002,1,6/13/2011,565,
08FA002,1,6/14/2011,575,
08FA002,1,6/15/2011,553,
08FA002,1,6/16/2011,514,
08FA002,1,6/17/2011,495,
08FA002,1,6/18/2011,529,
08FA002,1,6/19/2011,566,
08FA002,1,6/20/2011,572,
08FA002,1,6/21/2011,586,
08FA002,1,6/22/2011,600,
08FA002,1,6/23/2011,606,
08FA002,1,6/24/2011,583,
08FA002,1,6/25/2011,558,
08FA002,1,6/26/2011,543,
08FA002,1,6/27/2011,540,
08FA002,1,6/28/2011,562,
08FA002,1,6/29/2011,670,
08FA002,1,6/30/2011,724,
08FA002,1,7/1/2011,693,
08FA002,1,7/2/2011,636,
08FA002,1,7/3/2011,618,
08FA002,1,7/4/2011,593,
08FA002,1,7/5/2011,575,
08FA002,1,7/6/2011,615,
08FA002,1,7/7/2011,641,
08FA002,1,7/8/2011,627,
08FA002,1,7/9/2011,582,
08FA002,1,7/10/2011,538,
08FA002,1,7/11/2011,503,
08FA002,1,7/12/2011,500,
08FA002,1,7/13/2011,514,
08FA002,1,7/14/2011,534,
08FA002,1,7/15/2011,560,
08FA002,1,7/16/2011,570,
08FA002,1,7/17/2011,583,
08FA002,1,7/18/2011,595,
08FA002,1,7/19/2011,591,
08FA002,1,7/20/2011,587,
08FA002,1,7/21/2011,650,
08FA002,1,7/22/2011,628,
08FA002,1,7/23/2011,577,
08FA002,1,7/24/2011,544,
08FA002,1,7/25/2011,549,
08FA002,1,7/26/2011,562,
08FA002,1,7/27/2011,547,
08FA002,1,7/28/2011,527,
08FA002,1,7/29/2011,540,
08FA002,1,7/30/2011,602,
08FA002,1,7/31/2011,722,
08FA002,1,8/1/2011,694,
08FA002,1,8/2/2011,631,
08FA002,1,8/3/2011,578,
08FA002,1,8/4/2011,555,
08FA002,1,8/5/2011,552,
08FA002,1,8/6/2011,547,
08FA002,1,8/7/2011,515,
08FA002,1,8/8/2011,483,
08FA002,1,8/9/2011,461,
08FA002,1,8/10/2011,441,
08FA002,1,8/11/2011,428,
08FA002,1,8/12/2011,417,
08FA002,1,8/13/2011,399,
08FA002,1,8/14/2011,425,
08FA002,1,8/15/2011,421,
08FA002,1,8/16/2011,396,
08FA002,1,8/17/2011,372,
08FA002,1,8/18/2011,351,
08FA002,1,8/19/2011,333,
08FA002,1,8/20/2011,326,
08FA002,1,8/21/2011,423,
08FA002,1,8/22/2011,961,
08FA002,1,8/23/2011,1110,
08FA002,1,8/24/2011,1050,
08FA002,1,8/25/2011,949,
08FA002,1,8/26/2011,810,
08FA002,1,8/27/2011,697,
08FA002,1,8/28/2011,612,
08FA002,1,8/29/2011,564,
08FA002,1,8/30/2011,528,
08FA002,1,8/31/2011,470,
08FA002,1,9/1/2011,418,
08FA002,1,9/2/2011,385,
08FA002,1,9/3/2011,350,
08FA002,1,9/4/2011,327,
08FA002,1,9/5/2011,321,
08FA002,1,9/6/2011,326,
08FA002,1,9/7/2011,346,
08FA002,1,9/8/2011,376,
08FA002,1,9/9/2011,393,
08FA002,1,9/10/2011,397,
08FA002,1,9/11/2011,394,
08FA002,1,9/12/2011,387,
08FA002,1,9/13/2011,382,
08FA002,1,9/14/2011,372,
08FA002,1,9/15/2011,358,
08FA002,1,9/16/2011,353,
08FA002,1,9/17/2011,332,
08FA002,1,9/18/2011,326,
08FA002,1,9/19/2011,353,
08FA002,1,9/20/2011,327,
08FA002,1,9/21/2011,576,
08FA002,1,9/22/2011,1010,
08FA002,1,9/23/2011,1600,
08FA002,1,9/24/2011,2050,
08FA002,1,9/25/2011,2000,
08FA002,1,9/26/2011,1700,
08FA002,1,9/27/2011,1530,
08FA002,1,9/28/2011,1370,
08FA002,1,9/29/2011,1080,
08FA002,1,9/30/2011,876,
08FA002,1,10/1/2011,715,
08FA002,1,10/2/2011,578,
08FA002,1,10/3/2011,479,
08FA002,1,10/4/2011,463,A
08FA002,1,10/7/2011,327,A
08FA002,1,10/8/2011,299,A
08FA002,1,10/9/2011,309,A
08FA002,1,10/10/2011,299,A
08FA002,1,10/11/2011,301,A
08FA002,1,10/12/2011,373,A
08FA002,1,10/13/2011,385,A
08FA002,1,10/14/2011,364,A
08FA002,1,10/15/2011,303,A
08FA002,1,10/16/2011,271,A
08FA002,1,10/17/2011,246,A
08FA002,1,10/18/2011,244,A
08FA002,1,10/19/2011,235,A
08FA002,1,10/20/2011,229,A
08FA002,1,10/21/2011,240,A
08FA002,1,10/22/2011,290,A
08FA002,1,10/23/2011,315,A
08FA002,1,10/24/2011,308,A
08FA002,1,10/25/2011,288,A
08FA002,1,10/26/2011,273,A
08FA002,1,10/27/2011,264,A
08FA002,1,10/28/2011,262,A
08FA002,1,10/29/2011,265,A
08FA002,1,10/30/2011,271,A
08FA002,1,10/31/2011,284,A
08FA002,1,11/1/2011,276,A
08FA002,1,11/7/2011,171,A
08FA002,1,11/8/2011,159,A
08FA002,1,11/9/2011,156,A
08FA002,1,11/10/2011,254,A
08FA002,1,11/11/2011,378,A
08FA002,1,11/12/2011,384,A
08FA002,1,11/13/2011,359,A
08FA002,1,11/14/2011,327,A
08FA002,1,11/15/2011,287,
08FA002,1,11/16/2011,253,
08FA002,1,11/17/2011,236,A
08FA002,1,11/18/2011,207,
08FA002,1,11/19/2011,183,
08FA002,1,11/20/2011,165,
08FA002,1,11/21/2011,151,
08FA002,1,11/22/2011,157,
08FA002,1,11/23/2011,159,
08FA002,1,11/24/2011,150,
08FA002,1,11/25/2011,151,
08FA002,1,11/26/2011,168,
08FA002,1,11/27/2011,410,
08FA002,1,11/28/2011,472,
08FA002,1,11/29/2011,431,
08FA002,1,11/30/2011,382,
08FA002,1,12/1/2011,331,
08FA002,1,12/2/2011,290,
08FA002,1,12/3/2011,253,
08FA002,1,12/4/2011,220,
08FA002,1,12/5/2011,196,
